timestamp,temp_C,humidity_%,pressure_hPa,gas_resistance_kOhm,mq135_raw,mq135_voltage,mq135_ratio,mq3_raw,mq3_voltage,mq3_ratio,contamination_level_%,label
1121031,31.81,71.62,1007.70,26.11,2209.68,1.781,0.8532,1649.60,1.329,1.4824,100,best
1126900,31.81,71.62,1007.71,25.98,2220.84,1.790,0.8439,1649.94,1.330,1.4819,100,best
1132769,31.82,71.62,1007.71,26.06,2208.66,1.780,0.8541,1647.42,1.328,1.4857,100,best
1138638,31.82,71.61,1007.72,26.11,2216.84,1.786,0.8472,1650.00,1.330,1.4818,100,best
1144507,31.83,71.60,1007.71,26.03,2213.20,1.784,0.8503,1649.58,1.329,1.4825,100,best
1150376,31.83,71.60,1007.71,26.09,2207.78,1.779,0.8548,1649.94,1.330,1.4819,100,best
1156245,31.83,71.59,1007.71,26.11,2206.86,1.778,0.8556,1650.00,1.330,1.4818,100,best
1162114,31.84,71.59,1007.72,26.04,2211.16,1.782,0.8520,1650.68,1.330,1.4808,100,best
1167983,31.84,71.57,1007.72,26.20,2209.40,1.780,0.8534,1650.50,1.330,1.4811,100,best
1173852,31.84,71.57,1007.72,26.19,2198.66,1.772,0.8625,1650.18,1.330,1.4815,100,best
1179721,31.85,71.56,1007.73,26.07,2205.08,1.777,0.8571,1652.84,1.332,1.4776,100,best
1185590,31.85,71.55,1007.72,26.12,2202.40,1.775,0.8593,1654.28,1.333,1.4754,100,best
1191459,31.85,71.55,1007.72,26.32,2199.28,1.772,0.8620,1649.02,1.329,1.4833,100,best
1197328,31.86,71.54,1007.73,26.22,2190.90,1.766,0.8691,1655.48,1.334,1.4736,100,best
1203197,31.86,71.55,1007.73,26.12,2203.46,1.776,0.8584,1652.16,1.331,1.4786,100,best
1209066,31.86,71.53,1007.74,26.25,2191.36,1.766,0.8687,1649.28,1.329,1.4829,100,best
1214935,31.87,71.53,1007.74,26.19,2185.62,1.761,0.8736,1652.66,1.332,1.4778,100,best
1220804,31.87,71.53,1007.74,26.30,2161.16,1.742,0.8948,1654.90,1.334,1.4745,100,best
1226673,31.87,71.52,1007.74,26.22,2196.08,1.770,0.8647,1656.70,1.335,1.4718,100,best
1232542,31.88,71.51,1007.74,26.22,2192.20,1.767,0.8680,1652.12,1.331,1.4786,100,best
1238411,31.88,71.52,1007.74,26.40,2187.78,1.763,0.8718,1653.34,1.332,1.4768,100,best
1244280,31.88,71.49,1007.74,26.30,2189.32,1.764,0.8704,1653.14,1.332,1.4771,100,best
1250149,31.89,71.50,1007.74,26.35,2194.36,1.768,0.8661,1655.40,1.334,1.4737,100,best
1256018,31.89,71.50,1007.74,26.33,2189.82,1.765,0.8700,1653.84,1.333,1.4761,100,best
1261887,31.89,71.49,1007.74,26.38,2194.90,1.769,0.8657,1652.94,1.332,1.4774,100,best
1267756,31.89,71.50,1007.74,26.32,2169.22,1.748,0.8878,1652.22,1.331,1.4785,100,best
1273625,31.90,71.48,1007.74,26.45,2166.16,1.746,0.8904,1651.52,1.331,1.4795,100,best
1279494,31.90,71.50,1007.74,26.32,2159.98,1.741,0.8959,1654.06,1.333,1.4757,100,best
1285363,31.90,71.46,1007.74,26.33,2172.40,1.751,0.8850,1655.38,1.334,1.4738,100,best
1291232,31.90,71.46,1007.74,26.35,2172.00,1.750,0.8854,1651.44,1.331,1.4797,100,best
1297101,31.91,71.46,1007.75,26.27,2170.72,1.749,0.8865,1653.38,1.332,1.4767,100,best
1302970,31.91,71.43,1007.75,26.40,2171.06,1.750,0.8862,1653.98,1.333,1.4758,100,best
1308839,31.91,71.45,1007.76,26.40,2169.34,1.748,0.8877,1647.36,1.328,1.4858,100,best
1314708,31.91,71.43,1007.76,26.40,2165.32,1.745,0.8912,1651.38,1.331,1.4797,100,best
1320577,31.92,71.42,1007.77,26.45,2162.28,1.742,0.8938,1653.72,1.333,1.4762,100,best
1326446,31.92,71.43,1007.77,26.40,2162.12,1.742,0.8940,1652.10,1.331,1.4787,100,best
1332315,31.92,71.42,1007.78,26.43,2160.24,1.741,0.8956,1652.94,1.332,1.4774,100,best
1338184,31.93,71.42,1007.78,26.38,2159.66,1.740,0.8961,1658.90,1.337,1.4685,100,best
1344053,31.93,71.41,1007.79,26.40,2162.02,1.742,0.8941,1658.14,1.336,1.4696,100,best
1349922,31.93,71.42,1007.79,26.45,2159.62,1.740,0.8962,1656.48,1.335,1.4721,100,best
1355791,31.93,71.40,1007.79,26.53,2170.10,1.749,0.8870,1657.60,1.336,1.4704,100,best
1361660,31.94,71.41,1007.80,26.46,2167.46,1.747,0.8893,1656.92,1.335,1.4715,100,best
1367529,31.94,71.39,1007.80,26.41,2148.36,1.731,0.9061,1656.74,1.335,1.4717,100,best
1373398,31.94,71.38,1007.80,26.55,2168.90,1.748,0.8881,1656.74,1.335,1.4717,100,best
1379267,31.94,71.38,1007.80,26.55,2150.88,1.733,0.9039,1658.40,1.336,1.4692,100,best
1385136,31.95,71.39,1007.80,26.55,2146.30,1.730,0.9079,1659.16,1.337,1.4681,100,best
1391005,31.95,71.37,1007.80,26.56,2149.64,1.732,0.9050,1657.48,1.336,1.4706,100,best
1396874,31.95,71.36,1007.80,26.56,2151.14,1.734,0.9036,1651.06,1.331,1.4802,100,best
1402743,31.95,71.36,1007.80,26.58,2157.86,1.739,0.8977,1662.38,1.340,1.4633,100,best
1408612,31.95,71.35,1007.81,26.58,2220.44,1.789,0.8442,1658.36,1.336,1.4693,100,best
1414481,31.96,71.37,1007.81,26.58,2237.38,1.803,0.8303,1662.12,1.339,1.4637,100,best
1420350,31.96,71.35,1007.83,26.66,2153.80,1.736,0.9013,1663.50,1.341,1.4617,100,best
1426219,31.96,71.35,1007.83,26.63,2133.84,1.720,0.9191,1660.56,1.338,1.4660,100,best
1432088,31.96,71.34,1007.82,26.64,2130.32,1.717,0.9222,1659.40,1.337,1.4678,100,best
1437957,31.97,71.33,1007.82,26.66,2133.48,1.719,0.9194,1659.62,1.337,1.4674,100,best
1443826,31.97,71.33,1007.83,26.63,2140.92,1.725,0.9127,1659.30,1.337,1.4679,100,best
1449695,31.97,71.34,1007.84,26.59,2140.56,1.725,0.9131,1657.22,1.335,1.4710,100,best
1455564,31.97,71.31,1007.85,26.69,2143.30,1.727,0.9106,1659.72,1.338,1.4673,100,best
1461433,31.97,71.32,1007.85,26.81,2134.14,1.720,0.9188,1658.68,1.337,1.4688,100,best
1467302,31.98,71.33,1007.84,26.68,2132.24,1.718,0.9205,1658.64,1.337,1.4689,100,best
1473171,31.98,71.31,1007.85,26.81,2125.62,1.713,0.9265,1658.96,1.337,1.4684,100,best
1479040,31.98,71.31,1007.86,26.63,2123.80,1.711,0.9281,1658.76,1.337,1.4687,100,best
1484909,31.98,71.30,1007.86,26.83,2125.82,1.713,0.9263,1653.44,1.332,1.4767,100,best
1490778,31.99,71.31,1007.85,26.69,2126.66,1.714,0.9256,1649.70,1.329,1.4823,100,best
1496647,31.99,71.30,1007.86,26.71,2123.68,1.711,0.9283,1651.18,1.331,1.4800,100,best
1502516,31.99,71.29,1007.87,26.80,2118.22,1.707,0.9332,1647.94,1.328,1.4849,100,best
1508385,31.99,71.30,1007.87,26.80,2117.80,1.707,0.9336,1655.08,1.334,1.4742,100,best
1514254,31.99,71.28,1007.88,26.76,2117.54,1.706,0.9338,1660.02,1.338,1.4668,100,best
1520123,32.00,71.28,1007.88,26.80,2114.14,1.704,0.9370,1658.76,1.337,1.4687,100,best
1525992,32.00,71.27,1007.87,26.88,2112.90,1.703,0.9381,1650.48,1.330,1.4811,100,best
1531861,32.00,71.26,1007.88,26.74,2113.20,1.703,0.9378,1651.36,1.331,1.4798,100,best
1537730,32.00,71.28,1007.88,26.74,2111.04,1.701,0.9398,1651.36,1.331,1.4798,100,best
1543599,32.00,71.26,1007.87,26.86,2109.92,1.700,0.9408,1651.48,1.331,1.4796,100,best
1549468,32.01,71.26,1007.87,26.83,2110.88,1.701,0.9399,1651.68,1.331,1.4793,100,best
1555337,32.01,71.27,1007.88,26.83,2107.40,1.698,0.9432,1651.84,1.331,1.4791,100,best
1561206,32.01,71.26,1007.89,26.84,2103.74,1.695,0.9465,1650.74,1.330,1.4807,100,best
1567075,32.01,71.25,1007.90,26.83,2098.40,1.691,0.9515,1650.62,1.330,1.4809,100,best
1572944,32.01,71.26,1007.89,26.93,2097.84,1.691,0.9520,1649.12,1.329,1.4831,100,best
